"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2021
"합계","금천구",중학교,학급현황,학급당학생수 (명),22.5
"합계","금천구",고등학교,학생수 (명),소계,3881
"합계","금천구",고등학교,학급현황,학급수 (학급),175
"합계","금천구",고등학교,학급현황,학급당학생수 (명),22.2
"합계","영등포구",유치원,원아수 (명),소계,3356
"합계","영등포구",유치원,학급현황,학급수 (학급),165
"합계","영등포구",유치원,학급현황,학급당원아수 (명),20.3
"합계","영등포구",초등학교,학생수 (명),소계,13776
"합계","영등포구",초등학교,학급현황,학급수 (학급),664
"합계","영등포구",초등학교,학급현황,학급당학생수 (명),20.7
"합계","영등포구",중학교,학생수 (명),소계,6227
"합계","영등포구",중학교,학급현황,학급수 (학급),267
"합계","영등포구",중학교,학급현황,학급당학생수 (명),23.3
"합계","영등포구",고등학교,학생수 (명),소계,5680
"합계","영등포구",고등학교,학급현황,학급수 (학급),243
"합계","영등포구",고등학교,학급현황,학급당학생수 (명),23.4
"합계","동작구",유치원,원아수 (명),소계,2661
"합계","동작구",유치원,학급현황,학급수 (학급),132
"합계","동작구",유치원,학급현황,학급당원아수 (명),20.2
"합계","동작구",초등학교,학생수 (명),소계,15174
"합계","동작구",초등학교,학급현황,학급수 (학급),686
"합계","동작구",초등학교,학급현황,학급당학생수 (명),22.1
"합계","동작구",중학교,학생수 (명),소계,7529
"합계","동작구",중학교,학급현황,학급수 (학급),310
"합계","동작구",중학교,학급현황,학급당학생수 (명),24.3
"합계","동작구",고등학교,학생수 (명),소계,5760
"합계","동작구",고등학교,학급현황,학급수 (학급),234
"합계","동작구",고등학교,학급현황,학급당학생수 (명),24.6
"합계","관악구",유치원,원아수 (명),소계,2682
"합계","관악구",유치원,학급현황,학급수 (학급),167
"합계","관악구",유치원,학급현황,학급당원아수 (명),16.1
"합계","관악구",초등학교,학생수 (명),소계,13550
"합계","관악구",초등학교,학급현황,학급수 (학급),674
"합계","관악구",초등학교,학급현황,학급당학생수 (명),20.1
"합계","관악구",중학교,학생수 (명),소계,6966
"합계","관악구",중학교,학급현황,학급수 (학급),298
"합계","관악구",중학교,학급현황,학급당학생수 (명),23.4
"합계","관악구",고등학교,학생수 (명),소계,8845
"합계","관악구",고등학교,학급현황,학급수 (학급),392
"합계","관악구",고등학교,학급현황,학급당학생수 (명),22.6
"합계","서초구",유치원,원아수 (명),소계,2321
"합계","서초구",유치원,학급현황,학급수 (학급),128
"합계","서초구",유치원,학급현황,학급당원아수 (명),18.1
"합계","서초구",초등학교,학생수 (명),소계,22345
"합계","서초구",초등학교,학급현황,학급수 (학급),879
"합계","서초구",초등학교,학급현황,학급당학생수 (명),25.4
"합계","서초구",중학교,학생수 (명),소계,11721
"합계","서초구",중학교,학급현황,학급수 (학급),426
"합계","서초구",중학교,학급현황,학급당학생수 (명),27.5
"합계","서초구",고등학교,학생수 (명),소계,9533
"합계","서초구",고등학교,학급현황,학급수 (학급),379
"합계","서초구",고등학교,학급현황,학급당학생수 (명),25.2
"합계","강남구",유치원,원아수 (명),소계,2938
"합계","강남구",유치원,학급현황,학급수 (학급),166
"합계","강남구",유치원,학급현황,학급당원아수 (명),17.7
"합계","강남구",초등학교,학생수 (명),소계,25829
"합계","강남구",초등학교,학급현황,학급수 (학급),1000
"합계","강남구",초등학교,학급현황,학급당학생수 (명),25.8
"합계","강남구",중학교,학생수 (명),소계,16400
"합계","강남구",중학교,학급현황,학급수 (학급),553
"합계","강남구",중학교,학급현황,학급당학생수 (명),29.7
"합계","강남구",고등학교,학생수 (명),소계,17608
"합계","강남구",고등학교,학급현황,학급수 (학급),705
"합계","강남구",고등학교,학급현황,학급당학생수 (명),25.0
"합계","송파구",유치원,원아수 (명),소계,5073
"합계","송파구",유치원,학급현황,학급수 (학급),249
"합계","송파구",유치원,학급현황,학급당원아수 (명),20.4
"합계","송파구",초등학교,학생수 (명),소계,31235
"합계","송파구",초등학교,학급현황,학급수 (학급),1394
"합계","송파구",초등학교,학급현황,학급당학생수 (명),22.4
"합계","송파구",중학교,학생수 (명),소계,16405
"합계","송파구",중학교,학급현황,학급수 (학급),661
"합계","송파구",중학교,학급현황,학급당학생수 (명),24.8
"합계","송파구",고등학교,학생수 (명),소계,14183
"합계","송파구",고등학교,학급현황,학급수 (학급),595
"합계","송파구",고등학교,학급현황,학급당학생수 (명),23.8
"합계","강동구",유치원,원아수 (명),소계,4205
"합계","강동구",유치원,학급현황,학급수 (학급),199
"합계","강동구",유치원,학급현황,학급당원아수 (명),21.1
"합계","강동구",초등학교,학생수 (명),소계,22092
"합계","강동구",초등학교,학급현황,학급수 (학급),1021
"합계","강동구",초등학교,학급현황,학급당학생수 (명),21.6
"합계","강동구",중학교,학생수 (명),소계,10878
"합계","강동구",중학교,학급현황,학급수 (학급),453
"합계","강동구",중학교,학급현황,학급당학생수 (명),24.0
"합계","강동구",고등학교,학생수 (명),소계,10701
"합계","강동구",고등학교,학급현황,학급수 (학급),446
"합계","강동구",고등학교,학급현황,학급당학생수 (명),24.0
